PNAME,POS,TEAM,YEAR,TYPE,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Esteban Batista,PF,atl,2006,33,0.3,0.9,27.3,0,0,0,0.2,0.4,50,0.3,0.9,27.3,0.773,0.27
John Thomas,C,atl,2006,33,0.2,0.6,33.3,0,0,0,0.2,0.4,50,0.2,0.6,33.3,1,0.33
Donta Smith,SG,atl,2006,33,0.2,0.7,25,0,0.1,0,0.1,0.3,25,0.2,0.6,28.6,0.625,0.25
Joe Johnson,G,atl,2006,34,6.9,15.5,44.4,1.4,4,33.7,3,3.9,79.1,5.5,11.5,48.2,1.173,0.49
Al Harrington,PF,atl,2006,34,7,15.6,44.9,0.9,2.7,34,2.5,3.7,66.2,6.1,12.9,47.3,1.116,0.48
Josh Smith,PF,atl,2006,34,3.8,9.5,40.2,0.4,1.4,26.4,3.3,4.4,74.3,3.5,8.2,42.5,1.183,0.42
Josh Childress,F,atl,2006,34,4.1,7.3,55.9,0.5,0.8,62.1,2.3,3,77.1,3.6,6.4,55.2,1.51,0.59
Zaza Pachulia,C,atl,2006,34,3.7,8.5,43.5,0,0.1,0,3.2,4.6,69.8,3.7,8.5,43.8,1.244,0.43
Tyronn Lue,PG,atl,2006,34,3.3,8,41.5,0.8,2,40.7,3,3.6,82.7,2.5,6,41.7,1.304,0.47
Salim Stoudamire,SG,atl,2006,34,3.6,8.8,40.2,1.4,3.6,39,1.5,1.8,84.6,2.1,5.2,41.1,1.137,0.48
Marvin Williams,F,atl,2006,34,3,7.1,42.8,0.2,0.8,31,2.5,3.2,77.9,2.8,6.3,44.2,1.242,0.44
Anthony Grundy,PG,atl,2006,34,2.2,4.6,47.8,0,1.4,0,1.2,2,60,2.2,3.2,68.8,1.217,0.48
Royal Ivey,PG,atl,2006,34,1.8,4.2,43.7,0.1,0.2,50,0.6,0.8,71.4,1.7,4,43.4,1.033,0.45
Donta Smith,SG,atl,2006,34,1.2,1.7,68.4,0.2,0.3,66.7,0.5,0.7,62.5,1,1.5,68.8,1.737,0.74
John Edwards,C,atl,2006,34,1.3,2.6,50,0,0,0,0.3,0.4,75,1.3,2.6,50,1.13,0.5
Esteban Batista,PF,atl,2006,34,0.8,1.8,48.3,0,0,0,0.8,1.3,65.1,0.8,1.7,49.1,1.448,0.48
Tony Delk,PG,atl,2006,34,0,1,0,0,0,0,2,2,100,0,1,0,2,0
John Thomas,C,atl,2006,34,0.3,0.7,50,0,0,0,0.3,0.3,100,0.3,0.7,50,1.5,0.5
Joe Johnson,G,atl,2007,33,10,21.4,46.8,2.3,6.2,36.3,3.9,5.5,69.8,7.7,15.1,51.1,1.222,0.52
Josh Smith,PF,atl,2007,33,6.3,14.1,44.2,0.5,2.1,24,4,5.7,70.2,5.8,12.1,47.7,1.202,0.46
Josh Childress,F,atl,2007,33,5,9.7,51.8,0.6,1.5,36.4,3.4,4.2,81,4.5,8.2,54.6,1.44,0.55
Zaza Pachulia,C,atl,2007,33,4.5,8.5,53.7,0,0,0,4.5,5.4,82.6,4.5,8.4,53.8,1.604,0.54
Marvin Williams,F,atl,2007,33,5.1,11.5,44.4,0.2,0.7,27.3,3.2,4.1,77.9,4.9,10.8,45.5,1.183,0.45
Tyronn Lue,PG,atl,2007,33,4,9.7,41.6,1.1,3.1,34.1,3.1,3.5,89.2,3,6.6,45.3,1.267,0.47
Salim Stoudamire,SG,atl,2007,33,3.1,7.6,41.1,1,2.8,34.6,1,1.1,87.5,2.1,4.8,44.9,1.078,0.47
Anthony Johnson,PG,atl,2007,33,3.1,7.4,41.4,0.6,1.7,34.6,0.9,1.1,81.3,2.5,5.7,43.5,1.027,0.45
Speedy Claxton,PG,atl,2007,33,2.2,6.9,31.2,0.2,0.8,25,0.7,1.3,50,2,6.1,32,0.746,0.33
Shelden Williams,C,atl,2007,33,1.8,4.2,44,0,0,0,1.5,2,75.9,1.8,4.2,44,1.241,0.44
Dijon Thompson,SF,atl,2007,33,1.5,3.5,42.9,0,1,0,0.5,1,50,1.5,2.5,60,1,0.43
Solomon Jones,PF,atl,2007,33,1.2,2.3,52.3,0,0,0,0.8,0.8,95.7,1.2,2.3,53.1,1.385,0.52
Lorenzen Wright,PF,atl,2007,33,1.3,2.8,45.3,0,0,0,0.2,0.6,38.9,1.3,2.8,45.3,0.988,0.45
